td860e3479c	: Missing actor input, animator or camera
t7095f76453	Charge warning
tf26c241833	The branchhorn retreats.
t6c22f8cbfd	The branchhorn retreats into the woods. No loot is needed for the mission.
t124b9dbf18	Storage hit (
t9c24052e71	/3). Distract the branchhorn or protect the entrance.
t108eb7aa9c	M1Prototype is missing GlobalRoot
t9b4073b64a	Start from M1Prototype alone; a LastLight root already exists
td3f9844799	Last Light on Earth
t45ea2ef541	Following the warm lights...
t648f281592	Operation failed: 
taf4308792e	Startup failed: 
tba4b6e0001	\nCheck the Console, fix the error, then restart Play Mode.
t535110db4b	: Duplicate session context
t2f8c9fad99	: Missing M1GameSession
teb03034bab	Submit hits through RecordRaidStrike
t8081bdcc86	: Missing references actor={0}, follow={1}, camera={2}, signal={3}, objects={4}, nodes={5}, beasts={6}
ta633eaa682	: Home is missing Liang or the stove light
te914b222c8	: Null node or duplicate stable identifier
tfb0789e50f	Scene navigation generation failed
t6eb186dd22	Last Light / Late Winter
t3657f48b28	WASD Move · E Interact · B Build · Tab Inventory · J Journal
t128025fd34	Old Workshop: follow the outer route to retrieve the mission part without fighting.
t0afc4ed740	Waiting for the next repair
t2ae339494f	Waiting for the activation part
t612d324928	Rest complete. Check rations and fuel before your next trip.
tdbe00e5028	Home
tcb5e5cb0fb	Old Workshop
t018ec04c58	Health {0:0}   Food {1:0}   Exposure {2:0}\nInventory {3}/12 slots   {4} · Active time {5:0.0} min\n\n{6}\n\n
t601fbd4079	Branchhorn raid: storage hits {0}/3\n
tc4e359e749	Recovery buffer: {0:0.0} min\n
t32feb039a8	\n\nWASD Move · Shift Sprint · Left click Hammer\nE Interact · F Eat · B Build · Tab Inventory · J Journal · Esc Pause
t85c78e079b	The marked building plot is north of the terminal. Deposit materials first.
t1fcaf9de02	Safe scavenging spots replenish. Basic resources never require combat.
t310949291f	{0} {1} · {2:0} m
t8d56d822a1	Approach an indicated object and interact.
tf677d9062f	Have Liang repair the bridge and resolve the home raid first.
tad248c21cc	Greenhouse sample
td4b2f6ee10	This crop is permanently unlocked. Sowing uses a little common material, never a unique seed.
tcc13fe962a	Biological maintenance record
